"","sample","i_samp","variate","job"
"2","clusterMedium","1","AGB",0
"3","clusterMedium","2","AGB",0
"4","clusterMedium","3","AGB",0
"5","clusterMedium","4","AGB",0
"6","clusterMedium","5","AGB",0
"7","clusterMedium","6","AGB",0
"8","clusterMedium","7","AGB",0
"9","clusterMedium","8","AGB",0
"10","clusterMedium","9","AGB",0
"11","clusterMedium","10","AGB",0
"12","clusterMedium","11","AGB",0
"13","clusterMedium","12","AGB",0
"14","clusterMedium","13","AGB",0
"15","clusterMedium","14","AGB",0
"16","clusterMedium","15","AGB",0
"17","clusterMedium","16","AGB",0
"18","clusterMedium","17","AGB",0
"19","clusterMedium","18","AGB",0
"20","clusterMedium","19","AGB",0
"21","clusterMedium","20","AGB",0
"22","clusterMedium","21","AGB",0
"23","clusterMedium","22","AGB",0
"24","clusterMedium","23","AGB",0
"25","clusterMedium","24","AGB",0
"26","clusterMedium","25","AGB",0
"27","clusterMedium","26","AGB",0
"28","clusterMedium","27","AGB",0
"29","clusterMedium","28","AGB",0
"30","clusterMedium","29","AGB",0
"31","clusterMedium","30","AGB",0
"32","clusterMedium","31","AGB",0
"33","clusterMedium","32","AGB",0
"34","clusterMedium","33","AGB",0
"35","clusterMedium","34","AGB",0
"36","clusterMedium","35","AGB",0
"37","clusterMedium","36","AGB",0
"38","clusterMedium","37","AGB",0
"39","clusterMedium","38","AGB",0
"40","clusterMedium","39","AGB",0
"41","clusterMedium","40","AGB",0
"42","clusterMedium","41","AGB",0
"43","clusterMedium","42","AGB",0
"44","clusterMedium","43","AGB",0
"45","clusterMedium","44","AGB",0
"46","clusterMedium","45","AGB",0
"47","clusterMedium","46","AGB",0
"48","clusterMedium","47","AGB",0
"49","clusterMedium","48","AGB",0
"50","clusterMedium","49","AGB",0
"51","clusterMedium","50","AGB",0
"52","clusterMedium","51","AGB",0
"53","clusterMedium","52","AGB",0
"54","clusterMedium","53","AGB",0
"55","clusterMedium","54","AGB",0
"56","clusterMedium","55","AGB",0
"57","clusterMedium","56","AGB",0
"58","clusterMedium","57","AGB",0
"59","clusterMedium","58","AGB",0
"60","clusterMedium","59","AGB",0
"61","clusterMedium","60","AGB",0
"62","clusterMedium","61","AGB",0
"63","clusterMedium","62","AGB",0
"64","clusterMedium","63","AGB",0
"65","clusterMedium","64","AGB",0
"66","clusterMedium","65","AGB",0
